the	ðə
need	nid
land	lænd
different	ˈdɪfɹənt
home	hoʊm
us	ʌs
move	muv
try	tɹaɪ
kind	kaɪnd
hand	hænd
picture	ˈpɪkʧɚ
again	əˈɡɛn
change	ʧeɪnʤ
off	ɔf
play	pleɪ
spell	spɛl
air	ɛɹ
away	əˈweɪ
animal	ˈænəməl
house	haʊs
point	pɔɪnt
page	peɪʤ
letter	ˈlɛtɚ
mother	ˈmʌðɚ
answer	ˈænsɚ
found	faʊnd
study	ˈstʌdi
still	stɪl
learn	lɜːn
should	ʃʊd
world	wɜːld
high	haɪ
every	ˈɛvɹi
near	nɪɹ
add	æd
food	fud
between	bɪˈtwin
own	oʊn
below	bɪˈloʊ
country	ˈkʌntɹi
plant	plænt
last	læst
school	skul
father	ˈfɑðɚ
keep	kip
tree	tɹi
never	ˈnɛvɚ
start	stɑɹt
city	ˈsɪti
earth	ɜːθ
eye	aɪ
light	laɪt
thought	θɔt
head	hɛd
under	ˈʌndɚ
story	ˈstɔɹi
saw	sɔ
left	lɛft
few	fju
while	waɪl
along	əˈlɔŋ
might	maɪt
close	kloʊs
something	ˈsʌmθɪŋ
seem	sim
next	nɛkst
hard	hɑɹd
open	ˈoʊpən
example	ɪɡˈzæmpəl
begin	bɪˈɡɪn
life	laɪf
always	ˈɔlweɪz
those	ðoʊz
both	boʊθ
paper	ˈpeɪpɚ
together	təˈɡɛðɚ
got	ɡɑt
group	ɡɹup
often	ˈɔfən
run	ɹʌn
important	ɪmˈpɔɹtənt
until	ʌnˈtɪl
children	ˈʧɪldɹən
side	saɪd
feet	fit
car	kɑɹ
mile	maɪl
night	naɪt
walk	wɔk
white	waɪt
sea	si
began	bɪˈɡæn
grow	ɡɹoʊ
took	tʊk
river	ˈɹɪvɚ
four	fɔɹ
carry	ˈkæɹi
state	steɪt
once	wʌns
book	bʊk
hear	hɪɹ
stop	stɑp
without	wɪˈðaʊt
second	ˈsɛkənd
later	ˈleɪtɚ
miss	mɪs
idea	aɪˈdiə
enough	ɪˈnʌf
eat	it
face	feɪs
watch	wɑʧ
far	fɑɹ
really	ˈɹɪli
almost	ˈɔlmoʊst
let	lɛt
above	əˈbʌv
girl	ɡɜːl
sometimes	ˈsʌmtaɪmz
mountain	ˈmaʊntən
cut	kʌt
young	jʌŋ
talk	tɔk
soon	sun
list	lɪst
song	sɔŋ
being	ˈbiɪŋ
leave	liv
family	ˈfæməli
it's	ɪts
yes	jɛs
hello	həˈloʊ
world's	wɜːldz
dog	dɔɡ
cat	kæt
test	tɛst
voice	vɔɪs
speech	spiʧ
model	ˈmɑdəl
audio	ˈɔdiˌoʊ
quick	kwɪk
brown	braʊn
fox	fɑks
jumps	ʤʌmps
lazy	ˈleɪzi
don't	doʊnt
can't	kænt
won't	woʊnt
i'm	aɪm
i've	aɪv
you're	jʊɹ
we're	wɪɹ
they're	ðɛɹ
that's	ðæts
what's	wʌts
let's	lɛts
